prompt,strategy,synthetic_ratio,classifier,metric,mean,std,count,mean_std,ci_lower,ci_upper,ci_95
original,within_group,20,svm,auc_roc,0.7587721913171557,0.031192150730614415,100,0.7588 ± 0.0312,0.7526585297739552,0.7648858528603562,"[0.7527, 0.7649]"
original,within_group,20,svm,balanced_accuracy,0.7190653506804248,0.014592562606309478,100,0.7191 ± 0.0146,0.7162052084095881,0.7219254929512614,"[0.7162, 0.7219]"
original,within_group,20,svm,f1_score,0.6075939341943427,0.02832060010696264,100,0.6076 ± 0.0283,0.6020430965733781,0.6131447718153074,"[0.6020, 0.6131]"
original,within_group,20,svm,precision,0.9918562900286513,0.007081209665399155,100,0.9919 ± 0.0071,0.9904683729342331,0.9932442071230695,"[0.9905, 0.9932]"
original,within_group,20,svm,recall,0.4385329744279946,0.029223458478638945,100,0.4385 ± 0.0292,0.4328051765661814,0.4442607722898078,"[0.4328, 0.4443]"
original,within_group,30,random_forest,accuracy,0.9447321668909825,0.013632572633157996,100,0.9447 ± 0.0136,0.9420601826548836,0.9474041511270814,"[0.9421, 0.9474]"
original,within_group,30,random_forest,auc_pr,0.9422456159364822,0.00997220644295175,100,0.9422 ± 0.0100,0.9402910634736636,0.9442001683993007,"[0.9403, 0.9442]"
original,within_group,30,random_forest,auc_roc,0.9920388065391136,0.0015572277309084186,100,0.9920 ± 0.0016,0.9917335899038555,0.9923440231743716,"[0.9917, 0.9923]"
original,within_group,30,random_forest,balanced_accuracy,0.9597906385524151,0.006952894461112379,100,0.9598 ± 0.0070,0.9584278712380371,0.9611534058667931,"[0.9584, 0.9612]"
original,within_group,30,random_forest,f1_score,0.782240589584041,0.04136424024278806,100,0.7822 ± 0.0414,0.7741331984964545,0.7903479806716275,"[0.7741, 0.7903]"
original,within_group,30,random_forest,precision,0.654247926495528,0.06167018168410345,100,0.6542 ± 0.0617,0.6421605708854438,0.6663352821056122,"[0.6422, 0.6663]"
original,within_group,30,random_forest,recall,0.9786137281292059,0.014110544061055361,100,0.9786 ± 0.0141,0.975848061493239,0.9813793947651728,"[0.9758, 0.9814]"
original,within_group,30,svm,accuracy,0.942192462987887,0.0029161683083667586,100,0.9422 ± 0.0029,0.941620893999447,0.9427640319763269,"[0.9416, 0.9428]"
