synthetic_ratio,classifier,metric,absolute_change_mean,absolute_change_std,relative_change_pct_mean,relative_change_pct_std,cohens_d_mean,cohens_d_std,kl_divergence_mean,kl_divergence_std,is_significant_t_corrected_sum
75,deep_learning,recall,-0.0552,0.028,-8.4824,3.7823,0.4944,0.33,7.2241,4.0962,1
75,random_forest,accuracy,-0.0044,0.0085,-0.4673,0.9043,0.2974,0.5042,3.8942,0.7354,1
75,random_forest,auc_pr,-0.0442,0.0132,-4.9122,1.4402,1.6224,0.6915,11.6456,6.6509,4
75,random_forest,auc_roc,-0.0068,0.0025,-0.6938,0.2494,1.2847,0.6625,7.7665,5.6517,3
75,random_forest,balanced_accuracy,-0.0136,0.0114,-1.5311,1.2861,0.3452,0.2718,5.8603,2.9595,1
75,random_forest,f1_score,-0.022,0.0174,-2.8908,2.2884,0.4505,0.3351,8.8571,2.0941,0
75,random_forest,precision,-0.0218,0.0542,-2.9746,7.5434,0.262,0.5095,4.5399,1.1881,1
75,random_forest,recall,-0.025,0.0357,-3.0737,4.3908,0.2464,0.3695,3.4238,0.7324,2
75,svm,accuracy,-0.0073,0.0021,-0.7796,0.2263,1.3881,0.3501,4.4286,4.786,3
75,svm,auc_pr,-0.035,0.0306,-6.5595,5.7181,0.5185,0.4553,2.8779,3.34,2
75,svm,auc_roc,-0.0228,0.0235,-3.4089,3.5159,0.3346,0.3511,6.3908,6.6304,1
75,svm,balanced_accuracy,-0.0361,0.0115,-5.5194,1.7522,1.3926,0.3829,4.7386,5.3328,3
75,svm,f1_score,-0.0923,0.029,-19.6186,6.118,1.369,0.3315,4.8186,5.3674,3
75,svm,precision,-0.0016,0.012,-0.1517,1.2137,0.1304,0.7012,1.0428,1.896,0
75,svm,recall,-0.0722,0.0233,-23.3505,7.3779,1.3928,0.3881,4.7241,5.3615,3
100,deep_learning,accuracy,-0.0085,0.004,-0.8906,0.4192,1.1092,0.8029,8.9891,2.7564,1
100,deep_learning,auc_pr,-0.0414,0.0166,-4.7247,1.8645,0.9655,0.5337,10.1433,3.3593,2
100,deep_learning,auc_roc,-0.0159,0.0027,-1.6493,0.2745,0.7279,0.199,3.0421,1.8604,1
100,deep_learning,balanced_accuracy,-0.0358,0.0323,-4.323,3.8106,0.7752,0.8265,9.9527,3.3027,1
100,deep_learning,f1_score,-0.0592,0.0395,-7.8163,5.0073,0.9494,0.889,12.2011,4.5614,1
100,deep_learning,precision,-0.0229,0.0398,-2.3866,4.1821,0.3432,0.5792,7.6839,3.1649,0
100,deep_learning,recall,-0.0698,0.0683,-10.5213,9.7017,0.7293,0.8182,8.2365,4.5735,1
100,random_forest,accuracy,-0.0048,0.0051,-0.5063,0.5377,0.3066,0.3175,2.9315,1.5791,0
100,random_forest,auc_pr,-0.0599,0.0142,-6.6621,1.5741,1.8832,0.3962,14.0561,4.3792,4
100,random_forest,auc_roc,-0.0103,0.0028,-1.0445,0.284,1.7128,0.396,13.6732,5.487,4
100,random_forest,balanced_accuracy,-0.0142,0.0189,-1.6043,2.1213,0.4007,0.5533,6.1402,5.3483,1
100,random_forest,f1_score,-0.024,0.0228,-3.1809,2.9907,0.4759,0.442,7.6263,2.9123,1
100,random_forest,precision,-0.03,0.0164,-4.1733,2.2648,0.2876,0.1807,6.3775,1.6319,0
100,random_forest,recall,-0.026,0.0382,-3.1924,4.6658,0.2959,0.4673,7.565,4.1002,0
100,svm,accuracy,-0.0104,0.0014,-1.1192,0.1537,2.1035,0.8942,14.7599,7.334,4
100,svm,auc_pr,-0.0418,0.0251,-7.9292,4.7304,0.5323,0.3017,11.0787,4.1488,3
100,svm,auc_roc,-0.0194,0.0135,-2.9015,2.0068,0.293,0.1993,10.6294,4.7841,1
100,svm,balanced_accuracy,-0.0519,0.0075,-7.9371,1.1461,2.1068,0.8856,14.7689,7.3346,4
100,svm,f1_score,-0.1356,0.0197,-28.8504,4.2863,2.0023,0.8296,14.8305,7.3397,4
100,svm,precision,-0.0019,0.0064,-0.1851,0.6416,0.2072,0.4649,0.6855,1.2773,0
100,svm,recall,-0.1038,0.015,-33.6468,4.9894,2.1067,0.885,14.7689,7.3346,4
