classifier,metric,best_ratio,best_strategy,performance_change,p_value,cohens_d,is_significant
svm,accuracy,25,within_group,-0.006976375000000257,2.354478820923105e-13,9.66091783079337,True
svm,precision,25,within_group,0.0,,0.0,False
svm,recall,25,within_group,-0.06976375000000012,2.354478820923072e-13,9.660917830792979,True
svm,f1_score,25,within_group,-0.07685236363636389,1.096246671919724e-13,10.212970278266809,True
random_forest,accuracy,25,within_group,0.0013952750000001402,0.00011391365709553255,-0.23094010767587234,True
random_forest,precision,75,within_group,-0.001480880362739967,0.7864586691108743,0.017485015705557317,False
random_forest,recall,100,within_group,-3.3306690738754696e-16,0.9999999999999927,9.617365862158636e-15,False
random_forest,f1_score,25,within_group,-0.004869144952958315,0.2566269157860208,0.14708460309947904,False
deep_learning,accuracy,75,within_group,-0.002371967500000016,0.3307921859127959,0.3955475318610042,False
deep_learning,precision,100,within_group,0.01638434202645045,0.4365554145119317,-0.27739771926645285,False
deep_learning,recall,75,within_group,-0.05302045000000011,0.09974885269542638,0.7154454983055691,False
deep_learning,f1_score,75,within_group,-0.026523918811986014,0.18888886775848504,0.5551999978088552,False
