strategy,synthetic_ratio,classifier,metric,baseline_mean,baseline_std,baseline_n,test_mean,test_std,test_n,absolute_change,relative_change_pct,t_statistic,t_pvalue,t_test_type,wilcoxon_statistic,wilcoxon_pvalue,cohens_d,ks_statistic,ks_pvalue,kl_divergence,js_divergence,is_significant_t,is_significant_wilcoxon,is_significant_ks,t_pvalue_corrected,is_significant_t_corrected,wilcoxon_pvalue_corrected,is_significant_wilcoxon_corrected,effect_size_category
within_group,25,svm,accuracy,0.9425082625000002,0.0010212367307124426,15,0.9355318874999999,0.0,15,-0.006976375000000257,-0.7401924500370367,26.457513110645905,2.354478820923105e-13,paired_ttest,0.0,0.000396414226076531,9.66091783079337,1.0,1.2893450075787698e-08,,,True,True,True,8.969443127326114e-13,True,0.0009974941154916892,True,Large
within_group,25,svm,precision,0.9848999999999998,1.1491900087240784e-16,15,0.9848999999999998,1.1491900087240784e-16,15,0.0,0.0,,,paired_ttest,0.0,,0.0,0.0,1.0,0.0,0.0,False,False,False,,,,,Negligible
within_group,25,svm,recall,0.383700625,0.010212367307124482,15,0.3139368749999999,5.745950043620392e-17,15,-0.06976375000000012,-18.181818181818212,26.457513110645927,2.354478820923072e-13,paired_ttest,0.0,0.000396414226076531,9.660917830792979,1.0,1.2893450075787698e-08,,,True,True,True,8.969443127326114e-13,True,0.0009974941154916892,True,Large
within_group,25,svm,f1_score,0.5552323636363636,0.010641924140938473,15,0.47837999999999975,1.7237850130861175e-16,15,-0.07685236363636389,-13.84147767126495,27.969371002682607,1.096246671919724e-13,paired_ttest,0.0,0.000396414226076531,10.212970278266809,1.0,1.2893450075787698e-08,,,True,True,True,5.134777587950256e-13,True,0.0009974941154916892,True,Large
within_group,25,svm,auc_roc,0.7163219117476852,0.04665263438359803,15,0.716814456741898,0.043773190211179806,15,0.0004925449942128068,0.06876028586241253,-0.25915648105201405,0.7992862403697815,paired_ttest,55.0,0.7737449764627036,-0.010888382142278375,0.3333333333333333,0.3855465198257425,14.48300404600747,0.41272565263942185,False,False,False,0.8094037877162343,False,0.7737449764627036,False,Negligible
within_group,25,svm,auc_pr,0.6031493470085947,0.04696013496903661,15,0.6063816623418993,0.05074271357837352,15,0.0032323153333045918,0.5359062973931285,-1.6159422065643743,0.12841037001049627,paired_ttest,40.0,0.2501771730662782,-0.06611671419465608,0.3333333333333333,0.3855465198257425,7.038769470258177,0.1323041247188978,False,False,False,0.15107102354176033,False,0.2765812285958904,False,Negligible
within_group,25,svm,balanced_accuracy,0.6941493124999998,0.005106183653562213,15,0.6592674374999999,0.0,15,-0.03488187499999984,-5.025125628140683,26.457513110645998,2.354478820922988e-13,paired_ttest,0.0,0.000396414226076531,9.66091783079297,1.0,1.2893450075787698e-08,,,True,True,True,8.969443127326114e-13,True,0.0009974941154916892,True,Large
within_group,25,random_forest,accuracy,0.9592515625,0.0056860054752738125,15,0.9606468375000001,0.006377621339190221,15,0.0013952750000001402,0.14545454545456005,-5.291502622129181,0.00011391365709553255,paired_ttest,0.0,0.00399151441432802,-0.23094010767587234,0.3333333333333333,0.3855465198257425,14.48300404600747,0.41272565263942185,True,True,False,0.00020251316816983565,True,0.006140791406658491,True,Small
within_group,25,random_forest,precision,0.8899700504032257,0.07874015106565846,15,0.9368275000000001,0.05892606196539863,15,0.0468574495967744,5.265059152894452,-7.015384532892973,6.097769002145158e-06,paired_ttest,0.0,0.0005610904399640751,-0.6737967954923437,0.3333333333333333,0.3855465198257425,14.48300404600747,0.41272565263942185,True,True,False,1.2195538004290316e-05,True,0.0009974941154916892,True,Medium
within_group,25,random_forest,recall,0.6418265000000001,0.04451467706607417,15,0.6069446249999999,0.035376678082989915,15,-0.03488187500000017,-5.434782608695678,3.6689969285267203,0.002527876321306844,paired_ttest,0.0,0.00399151441432802,0.8675760324277174,0.3333333333333333,0.3855465198257425,14.483004046007524,0.41272565263942285,True,True,False,0.004044602114090951,True,0.006140791406658491,True,Large
