accuracy,precision,recall,f1,model_name,dataset_name,test_samples,positive_predictions,true_positives,experiment_timestamp,dataset_type,malicious_ratio,training_samples,feature_count,model_file,vectorizer_file
0.7895476616406849,0.8574182316970375,0.7895476616406849,0.785316136346199,SVM,pure_original_5pct,7826,2719,4366,2025-07-31T14:38:11.339308,pure_original,5pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_original_5pct_SVM_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_original_5pct_SVM_vectorizer.joblib
0.8957321748019422,0.9154439079820066,0.8957321748019422,0.8958621370368384,DeepLearning,pure_original_5pct,7826,3554,4366,2025-07-31T14:38:44.151263,pure_original,5pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_original_5pct_DeepLearning_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_original_5pct_DeepLearning_vectorizer.joblib
0.6486072067467417,0.8042159316173472,0.6486072067467417,0.6178027483078732,RandomForest,pure_original_10pct,7826,1616,4366,2025-07-31T14:38:53.295912,pure_original,10pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_original_10pct_RandomForest_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_original_10pct_RandomForest_vectorizer.joblib
0.8921543572706363,0.9133025269880115,0.8921543572706363,0.8922465049304932,SVM,pure_original_10pct,7826,3522,4366,2025-07-31T14:40:30.733280,pure_original,10pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_original_10pct_SVM_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_original_10pct_SVM_vectorizer.joblib
0.9495272169690774,0.9545520222002438,0.9495272169690774,0.9496936797673803,DeepLearning,pure_original_10pct,7826,3977,4366,2025-07-31T14:41:02.093374,pure_original,10pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_original_10pct_DeepLearning_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_original_10pct_DeepLearning_vectorizer.joblib
0.7071300792231024,0.8238299850681389,0.7071300792231024,0.6914476687604629,RandomForest,pure_original_15pct,7826,2074,4366,2025-07-31T14:41:10.858438,pure_original,15pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_original_15pct_RandomForest_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_original_15pct_RandomForest_vectorizer.joblib
0.931638129312548,0.9407929730716936,0.931638129312548,0.9318601733150591,SVM,pure_original_15pct,7826,3831,4366,2025-07-31T14:42:48.482149,pure_original,15pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_original_15pct_SVM_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_original_15pct_SVM_vectorizer.joblib
0.9708663429593662,0.972579259194376,0.9708663429593662,0.9709391301024723,DeepLearning,pure_original_15pct,7826,4144,4366,2025-07-31T14:43:20.952868,pure_original,15pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_original_15pct_DeepLearning_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_original_15pct_DeepLearning_vectorizer.joblib
0.7825198057756197,0.8542267586175212,0.7825198057756197,0.7776587680436733,RandomForest,pure_original_20pct,7826,2664,4366,2025-07-31T14:43:30.595785,pure_original,20pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_original_20pct_RandomForest_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_original_20pct_RandomForest_vectorizer.joblib
0.9508050089445438,0.9556350205373944,0.9508050089445438,0.950966401810201,SVM,pure_original_20pct,7826,3985,4366,2025-07-31T14:45:17.262409,pure_original,20pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_original_20pct_SVM_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_original_20pct_SVM_vectorizer.joblib
