accuracy,precision,recall,f1,model_name,dataset_name,test_samples,positive_predictions,true_positives,dataset_type,malicious_ratio,training_samples,feature_count,experiment_timestamp
0.9419882443138257,0.9486615139171459,0.9419882443138257,0.9421832712659316,DeepLearning,pure_strong_10pct,7826,3914,4366,pure_strong,10pct,10000,10000,2025-07-31T11:16:28.381695
0.6863020700230003,0.8165012953980695,0.6863020700230003,0.6660303237386498,RandomForest,pure_strong_15pct,7826,1911,4366,pure_strong,15pct,10000,10000,2025-07-31T11:16:37.176218
0.9071045233835932,0.9231499473803253,0.9071045233835932,0.9073036658265484,SVM,pure_strong_15pct,7826,3641,4366,pure_strong,15pct,10000,10000,2025-07-31T11:18:20.689172
0.9686940966010733,0.9707010877478696,0.9686940966010733,0.9687766115079868,DeepLearning,pure_strong_15pct,7826,4125,4366,pure_strong,15pct,10000,10000,2025-07-31T11:18:52.734249
0.813570150779453,0.8688661763970132,0.813570150779453,0.8111018953924856,RandomForest,pure_strong_20pct,7826,2907,4366,pure_strong,20pct,10000,10000,2025-07-31T11:19:01.398057
0.933043700485561,0.9417238173024142,0.933043700485561,0.9332636688448486,SVM,pure_strong_20pct,7826,3846,4366,pure_strong,20pct,10000,10000,2025-07-31T11:20:45.824930
0.9518272425249169,0.9563269909642105,0.9518272425249169,0.9519835722705564,DeepLearning,pure_strong_20pct,7826,3999,4366,pure_strong,20pct,10000,10000,2025-07-31T11:21:31.273618
0.5345003833375926,0.773246702287494,0.5345003833375926,0.44815610467616895,RandomForest,pure_weak_5pct,7826,723,4366,pure_weak,5pct,10000,10000,2025-07-31T11:21:41.327911
0.6850242780475339,0.81606481047164,0.6850242780475339,0.6644442412386903,SVM,pure_weak_5pct,7826,1901,4366,pure_weak,5pct,10000,10000,2025-07-31T11:23:11.030544
0.840914899054434,0.8827422486127082,0.840914899054434,0.8398330593372916,DeepLearning,pure_weak_5pct,7826,3125,4366,pure_weak,5pct,10000,10000,2025-07-31T11:23:43.416450
0.6258625095834398,0.7973519541575926,0.6258625095834398,0.5871092704019464,RandomForest,pure_weak_10pct,7826,1438,4366,pure_weak,10pct,10000,10000,2025-07-31T11:23:53.194936
0.7933810375670841,0.8591881800240518,0.7933810375670841,0.7894702015054873,SVM,pure_weak_10pct,7826,2749,4366,pure_weak,10pct,10000,10000,2025-07-31T11:25:22.472434
0.8865320725785842,0.9095058050086621,0.8865320725785842,0.8865681032050228,DeepLearning,pure_weak_10pct,7826,3482,4366,pure_weak,10pct,10000,10000,2025-07-31T11:25:47.128651
0.6572961921799131,0.8069431496161672,0.6572961921799131,0.6291963689004915,RandomForest,pure_weak_15pct,7826,1684,4366,pure_weak,15pct,10000,10000,2025-07-31T11:25:55.571871
0.8277536417071301,0.8760456739406551,0.8277536417071301,0.8260726326468129,SVM,pure_weak_15pct,7826,3018,4366,pure_weak,15pct,10000,10000,2025-07-31T11:27:25.912288
0.9157935088167646,0.9290342656932499,0.9157935088167646,0.9160208895740336,DeepLearning,pure_weak_15pct,7826,3713,4366,pure_weak,15pct,10000,10000,2025-07-31T11:27:52.653344
0.7454638384870943,0.838463844674495,0.7454638384870943,0.7362967045751148,RandomForest,pure_weak_20pct,7826,2374,4366,pure_weak,20pct,10000,10000,2025-07-31T11:28:00.926882
0.8630207002300025,0.895303970612247,0.8630207002300025,0.8626280610441167,SVM,pure_weak_20pct,7826,3296,4366,pure_weak,20pct,10000,10000,2025-07-31T11:29:35.122740
0.929849220546895,0.9391283061119386,0.929849220546895,0.9300762926426656,DeepLearning,pure_weak_20pct,7826,3827,4366,pure_weak,20pct,10000,10000,2025-07-31T11:30:29.925520
