prompt,strategy,classifier,metric,synthetic_ratio,performance,regression_slope,regression_r_squared,regression_p_value,total_change,absolute_degradation,relative_degradation,p_value
original,cross_group,random_forest,f1_score,30,0.7752009109233973,,,,,0.01792432016267409,0.022599609065682227,2.4520916300534643e-08
original,cross_group,random_forest,f1_score,40,0.7736955542770433,,,,,0.019429676809028074,0.024497615316589935,1.7980255423481462e-08
original,cross_group,random_forest,f1_score,50,0.7763842807130934,,,,,0.01674095037297796,0.02110757509259115,1.5549821161147458e-05
original,cross_group,random_forest,f1_score,60,0.7796808627618538,,,,,0.013444368324217582,0.016951129276025483,0.0008329142916038865
original,cross_group,random_forest,f1_score,70,0.778591213120088,,,,,0.014534017965983304,0.018324997612396025,0.00022228514885140564
original,cross_group,random_forest,f1_score,80,0.7792130477546987,,,,,0.013912183331372674,0.01754096678064564,0.0011367609315069808
original,cross_group,random_forest,f1_score,90,0.7810644251629216,,,,,0.012060805923149731,0.015206685464581912,0.0050437634856353546
original,cross_group,random_forest,f1_score,100,0.7877689117267133,,,,,0.005356319359358097,0.006753434576811263,0.27644489476691847
original,cross_group,random_forest,accuracy,sensitivity,0.9480538358008073,5.4520983726913384e-06,0.008593670466042471,0.7863202003137606,-0.00019650067294718632,,,
original,cross_group,random_forest,accuracy,10,0.9457590847913864,,,,,0.0022947510094208923,0.002420485971118454,0.003445173692975573
original,cross_group,random_forest,accuracy,20,0.9437658142664873,,,,,0.004288021534319952,0.00452297261230732,3.819921772994924e-06
original,cross_group,random_forest,accuracy,30,0.9425666218034991,,,,,0.005487213997308116,0.0057878717326987515,1.0437136602803281e-07
original,cross_group,random_forest,accuracy,40,0.9421130551816959,,,,,0.005940780619111408,0.006266290367459267,8.549882100010677e-08
original,cross_group,random_forest,accuracy,50,0.9431238223418574,,,,,0.0049300134589498334,0.005200140828274296,7.94219971398357e-05
original,cross_group,random_forest,accuracy,60,0.9442839838492597,,,,,0.0037698519515475537,0.003976411263990314,0.0034379239987477783
original,cross_group,random_forest,accuracy,70,0.9441211305518169,,,,,0.003932705248990365,0.004148187687747148,0.0016741177741347454
original,cross_group,random_forest,accuracy,80,0.9447092866756394,,,,,0.003344549125167906,0.003527805066410405,0.012623551229217071
original,cross_group,random_forest,accuracy,90,0.9454764468371466,,,,,0.002577388963660665,0.002718610342928028,0.05817594709951957
original,cross_group,random_forest,accuracy,100,0.9478573351278601,,,,,0.00019650067294718632,0.00020726742040045126,0.896482590641758
original,cross_group,random_forest,precision,sensitivity,0.6678224988933938,4.94646972381483e-05,0.02923117734793637,0.6152234992304497,0.002582217464269121,,,
original,cross_group,random_forest,precision,10,0.6569621875868737,,,,,0.010860311306520098,0.01626227227222208,0.002816939051622381
original,cross_group,random_forest,precision,20,0.6475752194883466,,,,,0.020247279405047225,0.03031835471041737,2.1202011814461877e-06
original,cross_group,random_forest,precision,30,0.6425122510084779,,,,,0.025310247884915982,0.03789966334895273,1.0110645698093522e-07
original,cross_group,random_forest,precision,40,0.6404897722535198,,,,,0.027332726639874072,0.04092813088083345,6.627078315936944e-08
original,cross_group,random_forest,precision,50,0.6449990404342487,,,,,0.02282345845914513,0.03417593521776285,6.098618009826399e-05
original,cross_group,random_forest,precision,60,0.6505789384102821,,,,,0.01724356048311171,0.025820574346753687,0.0032078917191628
original,cross_group,random_forest,precision,70,0.650913595661224,,,,,0.01690890323216987,0.025319457281221487,0.0030540160427477837
original,cross_group,random_forest,precision,80,0.6530360828383286,,,,,0.014786416055065255,0.02214123675013478,0.016620295023137756
original,cross_group,random_forest,precision,90,0.656518596118978,,,,,0.011303902774415842,0.016926507856723633,0.07164292157341795
original,cross_group,random_forest,precision,100,0.670404716357663,,,,,-0.002582217464269121,-0.003866622446155901,0.7241689462617521
original,cross_group,random_forest,recall,sensitivity,0.981763122476447,-0.00020890737795179352,0.8338512727151303,8.64725970900466e-05,-0.022462987886945007,,,
original,cross_group,random_forest,recall,10,0.9808479138627187,,,,,0.0009152086137282911,0.0009322091987115225,0.3399865781680721
original,cross_group,random_forest,recall,20,0.9823553162853298,,,,,-0.0005921938088827572,-0.000603194187401314,0.4738585715584551
original,cross_group,random_forest,recall,30,0.980915208613728,,,,,0.0008479138627189853,0.0008636644046887463,0.44782303013496716
original,cross_group,random_forest,recall,40,0.9807537012113053,,,,,0.0010094212651416967,0.0010281719103437939,0.2797977587397654
original,cross_group,random_forest,recall,50,0.9788021534320324,,,,,0.002960969044414674,0.003015970937007475,0.005778254047516594
original,cross_group,random_forest,recall,60,0.9766487213997308,,,,,0.005114401076716235,0.005209404345740163,1.860230312665165e-05
original,cross_group,random_forest,recall,70,0.9728532974427994,,,,,0.008909825033647678,0.009075330728631467,2.72529897950444e-08
original,cross_group,random_forest,recall,80,0.9690309555854644,,,,,0.012732166890982666,0.0129686750291317,1.2093437249019964e-10
original,cross_group,random_forest,recall,90,0.9665275908479138,,,,,0.015235531628533194,0.015518541366783413,1.3707953312650063e-15
original,cross_group,random_forest,recall,100,0.959300134589502,,,,,0.022462987886945007,0.022880252244842192,5.360618851264843e-18
original,cross_group,random_forest,auc_roc,sensitivity,0.9929381097611908,-3.7513609308324124e-05,0.9717848411162562,2.786284931034066e-08,-0.003813892526851048,,,
original,cross_group,random_forest,auc_roc,10,0.9925836957709674,,,,,0.00035441399022340114,0.0003569346233559717,0.0011595212023320528
original,cross_group,random_forest,auc_roc,20,0.9924242020786801,,,,,0.0005139076825106947,0.0005175626531590105,8.883656778983815e-06
original,cross_group,random_forest,auc_roc,30,0.9920396277222575,,,,,0.0008984820389332793,0.0009048721467135258,2.4749391485545257e-11
original,cross_group,random_forest,auc_roc,40,0.9919132762168253,,,,,0.0010248335443654444,0.001032122278610018,7.179588601011917e-15
original,cross_group,random_forest,auc_roc,50,0.9914576433533177,,,,,0.0014804664078731378,0.0014909956555390963,1.602964878566428e-18
original,cross_group,random_forest,auc_roc,60,0.9912758529285144,,,,,0.001662256832676401,0.0016740789947886946,3.099131530888857e-20
original,cross_group,random_forest,auc_roc,70,0.9906122614719588,,,,,0.002325848289231991,0.002342389990239548,1.8893055032857677e-23
original,cross_group,random_forest,auc_roc,80,0.9901968031823262,,,,,0.002741306578864622,0.0027608030670954174,4.7485866398919795e-27
original,cross_group,random_forest,auc_roc,90,0.9895784069892346,,,,,0.0033597027719561856,0.0033835973651612787,1.2105594038565544e-34
original,cross_group,random_forest,auc_roc,100,0.9891242172343397,,,,,0.003813892526851048,0.003841017369922803,7.507449468808452e-35
