strategy,synthetic_ratio,classifier,metric,baseline_mean,baseline_std,baseline_n,test_mean,test_std,test_n,absolute_change,relative_change_pct,t_statistic,t_pvalue,t_test_type,wilcoxon_statistic,wilcoxon_pvalue,cohens_d,ks_statistic,ks_pvalue,kl_divergence,js_divergence,is_significant_t,is_significant_wilcoxon,is_significant_ks,t_pvalue_corrected,is_significant_t_corrected,wilcoxon_pvalue_corrected,is_significant_wilcoxon_corrected,effect_size_category
within_group,25,svm,accuracy,0.9305555555555557,0.0026895717681995855,15,0.9263888888888892,0.004896413761608351,15,-0.004166666666666541,-0.44776119402983716,3.464101615137754,0.0037966870399141466,paired_ttest,9.5,0.006604285489238243,1.0547903969305426,0.6666666666666666,0.0018373939965002021,7.3090795398817034,0.23104906018664845,True,True,True,0.017613620113299,True,0.02735279224537037,True,Large
within_group,25,svm,precision,1.0,0.0,15,1.0,0.0,15,0.0,0.0,,,paired_ttest,0.0,,,0.0,1.0,0.0,0.0,False,False,False,,,,,
within_group,25,svm,recall,0.3055555555555556,0.02689571768199596,15,0.2638888888888889,0.048964137616083606,15,-0.041666666666666685,-13.63636363636364,3.4641016151377526,0.0037966870399141514,paired_ttest,12.0,0.010636185799567934,1.0547903969305723,0.6666666666666666,0.0018373939965002021,7.3090795398817,0.2310490601866477,True,True,True,0.017613620113299,True,0.03485196974099993,True,Large
within_group,25,svm,f1_score,0.4674733281290659,0.03181994958207166,15,0.4154532481341591,0.058919362379526434,15,-0.052020079994906765,-11.127924710293719,3.581239545479295,0.003008428276997249,paired_ttest,7.0,0.004200708267270723,1.098634390405113,0.6666666666666666,0.0018373939965002021,7.3090795398817034,0.23104906018664845,True,True,True,0.015512208303267066,True,0.0201416015625,True,Large
within_group,25,svm,auc_roc,0.6690136316872428,0.07070804758317106,15,0.6695746527777777,0.0712474062066613,15,0.0005610210905349078,0.08385794608101192,-0.03539089924870405,0.9722677037458358,paired_ttest,60.0,1.0,-0.007904128036106446,0.26666666666666666,0.6781382270680966,0.7731898809554876,0.23739940587555836,False,False,False,0.9811875909361646,False,1.0,False,Negligible
within_group,25,svm,auc_pr,0.5342569585032666,0.06430271117657357,15,0.522397562734299,0.06575315542265237,15,-0.011859395768967551,-2.219792476300529,0.779115495236644,0.44888181767454716,paired_ttest,46.0,0.45428466796875,0.18236252813861367,0.4666666666666667,0.07546400948132746,8.233275771014547,0.4846461707523669,False,False,False,0.5675517234965539,False,0.5902123638964075,False,Negligible
within_group,25,svm,balanced_accuracy,0.6527777777777779,0.01344785884099798,15,0.6319444444444445,0.024482068808041796,15,-0.02083333333333337,-3.191489361702133,3.464101615137747,0.003796687039914193,paired_ttest,12.0,0.010694473036151496,1.0547903969305736,0.6666666666666666,0.0018373939965002021,7.309079539881619,0.2310490601866485,True,True,True,0.017613620113299,True,0.03485196974099993,True,Large
within_group,25,random_forest,accuracy,0.9477777777777778,0.0151355209592863,15,0.947361111111111,0.015519817933121792,15,-0.0004166666666668428,-0.043962485345856804,0.06971360064094756,0.9454076062583324,paired_ttest,54.0,0.76153564453125,0.02718181859634973,0.2,0.9383310279844598,4.092933270435217,0.10496341383330311,False,False,False,0.9629151545223756,False,0.8321415983288494,False,Negligible
within_group,25,random_forest,precision,0.7232827891569638,0.10040881426511974,15,0.7583318854617204,0.11527419769878014,15,0.03504909630475661,4.845835796204796,-1.0585569075918748,0.3077248045428851,paired_ttest,43.0,0.359130859375,-0.3242364307905745,0.26666666666666666,0.6781382270680966,6.881917940269243,0.18231236407395196,False,False,False,0.42136591493424097,False,0.4894656878466002,False,Small
within_group,25,random_forest,recall,0.8236111111111112,0.08692650304261025,15,0.763888888888889,0.1363103902377676,15,-0.05972222222222223,-7.251264755480608,2.8283178663347632,0.013411130311862156,paired_ttest,15.0,0.018163018347876415,0.5224265657292734,0.3333333333333333,0.3855465198257425,4.310829581978613,0.1903681153888036,True,True,False,0.04136142993378048,True,0.05122902610939502,False,Medium
within_group,25,random_forest,f1_score,0.7616951622062048,0.05009326946968162,15,0.7431030313563445,0.05692075004588539,15,-0.018592130849860333,-2.4408886615492382,0.8745561209792271,0.39657082893205586,paired_ttest,44.0,0.389404296875,0.3467659122780595,0.2,0.9383310279844598,1.679582977645425,0.13639727681760513,False,False,False,0.5112045841702283,False,0.5181589434223791,False,Small
within_group,25,random_forest,auc_roc,0.9843991126543209,0.0035309075476498745,15,0.9807870370370371,0.004001965964699111,15,-0.0036120756172838275,-0.36693202694426186,3.035574731441325,0.008900940500193811,paired_ttest,18.0,0.01507568359375,0.9571470470224867,0.5333333333333333,0.026248485664288602,5.802559687446431,0.24648360750234397,True,True,True,0.030919056474357446,True,0.04522705078125,True,Large
within_group,25,random_forest,auc_pr,0.9041097316056221,0.017792254547163475,15,0.8821219951831558,0.024664881280010344,15,-0.02198773642246632,-2.4319765238471627,4.024920720707761,0.0012533118187045666,paired_ttest,9.0,0.00201416015625,1.0224528097045749,0.4666666666666667,0.07546400948132746,4.220464980401973,0.153843304356838,True,True,False,0.007956743212013482,True,0.012251525794068277,True,Large
