Model,Classifier,Baseline (0%),100% Synthetic,Degradation (%)
GPT-4.1-mini,Svm,0.627 ± 0.026,0.476 ± 0.033,-24.1%
GPT-4.1-mini,Random Forest,0.793 ± 0.041,0.788 ± 0.032,-0.7%
Claude-3.5-Haiku,Svm,0.627 ± 0.026,0.353 ± 0.046,-43.7%
Claude-3.5-Haiku,Random Forest,0.793 ± 0.041,0.796 ± 0.081,0.3%
SMOTE,Svm,0.699 ± 0.107,0.660 ± 0.107,-5.6%
SMOTE,Random Forest,0.776 ± 0.040,0.864 ± 0.043,11.4%
