Model,Classifier,Baseline (0%),100% Synthetic,Degradation (%)
GPT-4.1-mini,Svm,0.627 ± 0.026,0.415 ± 0.034,-33.7%
GPT-4.1-mini,Random Forest,0.793 ± 0.041,0.827 ± 0.026,4.3%
Claude-3.5-Haiku,Svm,0.627 ± 0.026,0.207 ± 0.066,-66.9%
Claude-3.5-Haiku,Random Forest,0.793 ± 0.041,0.637 ± 0.156,-19.7%
SMOTE,Svm,0.699 ± 0.107,0.660 ± 0.107,-5.6%
SMOTE,Random Forest,0.776 ± 0.040,0.864 ± 0.043,11.4%
