Model,Classifier,Baseline (0%),100% Synthetic,Degradation (%)
GPT-4.1-mini,Svm,0.627 ± 0.026,0.416 ± 0.035,-33.6%
GPT-4.1-mini,Random Forest,0.793 ± 0.041,0.812 ± 0.032,2.4%
Claude-3.5-Haiku,Svm,0.627 ± 0.026,0.201 ± 0.078,-67.9%
Claude-3.5-Haiku,Random Forest,0.793 ± 0.041,0.591 ± 0.168,-25.5%
SMOTE,Svm,0.676 ± 0.093,0.637 ± 0.101,-5.7%
SMOTE,Random Forest,0.807 ± 0.065,0.858 ± 0.068,6.4%
