Model,Classifier,Baseline (0%),100% Synthetic,Degradation (%)
GPT-4.1-mini,Svm,0.627 ± 0.026,0.476 ± 0.038,-24.1%
GPT-4.1-mini,Random Forest,0.793 ± 0.041,0.777 ± 0.034,-2.1%
Claude-3.5-Haiku,Svm,0.627 ± 0.026,0.338 ± 0.029,-46.0%
Claude-3.5-Haiku,Random Forest,0.793 ± 0.041,0.781 ± 0.098,-1.6%
SMOTE,Svm,0.676 ± 0.093,0.637 ± 0.101,-5.7%
SMOTE,Random Forest,0.807 ± 0.065,0.858 ± 0.068,6.4%
